Signal Legend:

Key        Signal Name

0        = SW[9..0]
1        = KEY[3..0]
2        = KEY[3]
3        = KEY[2]
4        = KEY[1]
5        = KEY[0]
6        = X_reg[15..0]
7        = Y_reg[15..0]
8        = ALUout_wire[7..0]
9        = LEDR[9..0]
10       = GPIO[9..9]
11       = GPIO[9]

Data Table:

Signals-> 0    1  2 3 4 5 6     7     8   9    10 11 

sample

119       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
120       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
121       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
122       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
123       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
124       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
125       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
126       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
127       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
128       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
129       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
130       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
131       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
132       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
133       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
134       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
135       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
136       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
137       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
138       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
139       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
140       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
141       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
142       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
143       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
144       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
145       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
146       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
147       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
